taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 c__Cyanobacteriia,-1.047072683,2.222487257,NA,0.435568312,NA,5.102499872,1,5.68E-06,1,0.000102258,FALSE,TRUE,TRUE,TRUE
 c__Clostridia_A,-0.009758758,0.823675827,NA,0.117168771,NA,7.029823902,1,3.58E-05,1,0.000609366,FALSE,TRUE,FALSE,FALSE
 c__Clostridia,1.451766273,-1.303157651,NA,0.305647123,NA,-4.26360189,1,7.36E-05,1,0.001177858,FALSE,TRUE,FALSE,TRUE
 c__Bacteroidia,1.411970656,-1.265368907,NA,0.398230667,NA,-3.17747731,1,0.002382031,1,0.035730464,FALSE,TRUE,FALSE,TRUE
 c__Campylobacteria,1.549774057,-1.445111167,NA,0.454862477,NA,-3.177028747,1,0.002403018,1,0.035730464,FALSE,TRUE,FALSE,FALSE
 c__Other_1,0.086203734,0.877544374,NA,0.2854284,NA,3.074481636,1,0.004783021,1,0.062179269,FALSE,FALSE,TRUE,TRUE
 c__Peptococcia,0.195712399,0.727022878,NA,0.26255127,NA,2.76907012,1,0.0092752,1,0.111302395,FALSE,FALSE,FALSE,TRUE
 c__Actinomycetia,1.459651364,-1.314889128,NA,0.507002197,NA,-2.593458443,1,0.011963755,1,0.131601301,FALSE,FALSE,FALSE,TRUE
 c__Alphaproteobacteria,-0.346473529,1.26284957,NA,0.5222912,NA,2.41790321,1,0.01914963,1,0.191496302,FALSE,FALSE,TRUE,FALSE
 c__Fusobacteriia,-0.319517046,1.285920609,NA,0.649673333,NA,1.979334141,1,0.052886153,1,0.475975379,FALSE,FALSE,TRUE,FALSE
 c__Coriobacteriia,0.246950996,0.584135267,NA,0.346811271,NA,1.684303008,1,0.098004241,1,0.784033929,FALSE,FALSE,TRUE,TRUE
 c__Other,0.633663364,-0.187101883,NA,0.108694938,NA,-1.721348636,1,0.119293054,1,0.83505138,FALSE,FALSE,FALSE,FALSE
 c__Methanobacteria,0.505135268,0.040461192,NA,0.132895196,NA,0.304459403,1,0.769629914,1,1,FALSE,FALSE,TRUE,TRUE
 c__Desulfovibrionia,0.881443282,-0.453473381,NA,0.37798969,NA,-1.199697749,1,0.236980799,1,1,FALSE,FALSE,FALSE,TRUE
 c__Bacilli,0.507677707,0.101461923,NA,0.258153355,NA,0.393029651,1,0.695714131,1,1,FALSE,FALSE,FALSE,TRUE
 c__Other_2,NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,FALSE,TRUE
 c__Negativicutes,0.631681299,-0.083031225,NA,0.181502715,NA,-0.457465473,1,0.649016684,1,1,FALSE,FALSE,FALSE,TRUE
 c__Gammaproteobacteria,0.319552196,0.33342115,NA,0.616341344,NA,0.540968335,1,0.590839434,1,1,FALSE,FALSE,TRUE,TRUE
