taxon,median,range
Actinomycetia,0.0207692307692308,0.000769230769230769-57.9238461538462
Coriobacteriia,6.06307692307692,0-71.1423076923077
Bacteroidia,1.18307692307692,0-39.7261538461538
Campylobacteria,0.00923076923076923,0-1.57846153846154
Cyanobacteriia,0,0-0
Desulfovibrionia,0,0-2.55461538461538
Bacilli,9.65538461538462,0.858461538461538-98.2553846153846
Clostridia,42.9038461538462,0.00461538461538461-86.2315384615385
Clostridia_A,0,0-0.0123076923076923
Peptococcia,0.00307692307692308,0-9.85
Negativicutes,0.195384615384615,0-11.5576923076923
Fusobacteriia,0.49,0-20.2207692307692
Alphaproteobacteria,0,0-0.206923076923077
Gammaproteobacteria,1.94846153846154,0.01-89.5092307692308
