taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 o__Sphingomonadales,1.522221974,-1.151389479,NA,0.167432636,NA,-6.876732689,1,1.47E-06,1,6.90E-05,FALSE,TRUE,TRUE,FALSE
 o__Other,-0.525606246,2.252468925,NA,0.351056785,NA,6.416252357,1,6.39E-06,1,0.000293842,FALSE,TRUE,TRUE,FALSE
 o__Cyanobacteriales,-1.047072683,2.222487257,NA,0.439313252,NA,5.059003446,1,6.59E-06,1,0.000296641,FALSE,TRUE,TRUE,TRUE
 o__Selenomonadales,1.975670825,-2.113010981,NA,0.448459849,NA,-4.711706048,1,2.21E-05,1,0.000973997,FALSE,TRUE,FALSE,TRUE
 o__Lachnospirales,1.385050624,-1.22498886,NA,0.265805866,NA,-4.60858475,1,2.27E-05,1,0.000977101,FALSE,TRUE,FALSE,TRUE
 o__Christensenellales,-0.009758758,0.823675827,NA,0.130402837,NA,6.316394996,1,8.72E-05,1,0.003663078,FALSE,TRUE,FALSE,FALSE
 o__Bacillales,1.251693855,-1.00557707,NA,0.235536957,NA,-4.269296339,1,0.000181301,1,0.007433343,FALSE,TRUE,FALSE,FALSE
 o__Bacillales_A,1.230479311,-0.980469303,NA,0.228832648,NA,-4.284656543,1,0.000183801,1,0.007433343,FALSE,TRUE,FALSE,FALSE
 o__Oscillospirales,1.569543471,-1.47838714,NA,0.392130379,NA,-3.770141822,1,0.000379695,1,0.014808122,FALSE,TRUE,FALSE,TRUE
 o__Bacillales_H,1.126350096,-0.879987725,NA,0.236633211,NA,-3.718783692,1,0.000888382,1,0.033758498,FALSE,TRUE,FALSE,FALSE
 o__Enterobacterales,-0.77984202,1.379961525,NA,0.381351771,NA,3.61860526,1,0.001521674,1,0.056301931,FALSE,FALSE,TRUE,FALSE
 o__Tissierellales,0.125266742,0.713801254,NA,0.20786583,NA,3.433951858,1,0.002371006,1,0.085356216,FALSE,FALSE,TRUE,TRUE
 o__Bacteroidales,1.412730495,-1.266508666,NA,0.402385799,NA,-3.147498415,1,0.002600233,1,0.090431593,FALSE,FALSE,FALSE,FALSE
 o__Campylobacterales,1.549774057,-1.445111167,NA,0.458449836,NA,-3.152168574,1,0.00258376,1,0.090431593,FALSE,FALSE,FALSE,TRUE
 o__Mycobacteriales,1.342404326,-1.122183433,NA,0.388312328,NA,-2.889899064,1,0.005572925,1,0.182997474,FALSE,FALSE,FALSE,TRUE
 o__Other_4,0.086203734,0.877544374,NA,0.291111234,NA,3.014464136,1,0.005545378,1,0.182997474,FALSE,FALSE,TRUE,TRUE
 o__Peptostreptococcales,1.419178202,-1.322509688,NA,0.457004796,NA,-2.893863918,1,0.00566556,1,0.182997474,FALSE,FALSE,FALSE,FALSE
 o__Peptococcales,0.195712399,0.727022878,NA,0.268718344,NA,2.705520085,1,0.01083993,1,0.320845683,FALSE,FALSE,FALSE,TRUE
 o__Rhizobiales,0.937713254,-0.512995717,NA,0.181256381,NA,-2.830221561,1,0.010694856,1,0.320845683,FALSE,FALSE,TRUE,FALSE
 o__Bacillales_D,0.875995152,-0.478950105,NA,0.184281044,NA,-2.599019928,1,0.016751931,1,0.468328139,FALSE,FALSE,FALSE,FALSE
 o__Paenibacillales,1.549903969,-1.492451555,NA,0.609799055,NA,-2.447448128,1,0.017669951,1,0.468328139,FALSE,FALSE,FALSE,FALSE
 o__Veillonellales,0.975517421,-0.645269089,NA,0.255106115,NA,-2.529414435,1,0.016726005,1,0.468328139,FALSE,FALSE,FALSE,TRUE
 o__Haloplasmatales_A,1.180701659,-0.505601572,NA,0.181138362,NA,-2.791245141,1,0.019078971,1,0.476974272,FALSE,FALSE,TRUE,TRUE
 o__Eubacteriales,1.223408566,-1.068495525,NA,0.452894448,NA,-2.359259491,1,0.02292315,1,0.542441541,FALSE,FALSE,FALSE,FALSE
 o__Caulobacterales,-0.325207599,1.233404436,NA,0.524844072,NA,2.350039757,1,0.022601731,1,0.542441541,FALSE,FALSE,TRUE,FALSE
 o__Methanobacteriales,0.505135268,0.040461192,NA,0.144698003,NA,0.27962509,1,0.787847219,1,1,FALSE,FALSE,TRUE,TRUE
 o__Actinomycetales,0.474349786,0.141431159,NA,0.874656562,NA,0.161699077,1,0.872114643,1,1,FALSE,FALSE,TRUE,TRUE
 o__Propionibacteriales,0.468720236,0.28983179,NA,0.659789923,NA,0.439278898,1,0.662711334,1,1,FALSE,FALSE,FALSE,TRUE
 o__Streptomycetales,0.810032933,-0.32186827,NA,0.36955288,NA,-0.870966748,1,0.388199438,1,1,FALSE,FALSE,FALSE,FALSE
 o__Coriobacteriales,0.246950996,0.584135267,NA,0.351503111,NA,1.661821046,1,0.102453098,1,1,FALSE,FALSE,TRUE,TRUE
 o__Other_1,0.633663364,-0.187101883,NA,0.122845303,NA,-1.52306908,1,0.162073705,1,1,FALSE,FALSE,FALSE,FALSE
