taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 g__Sphingobium,2.570036594,-2.230533834,NA,0.154210015,NA,-14.46426052,1,1.32E-10,1,4.36E-08,FALSE,TRUE,TRUE,FALSE
 g__Trichormus,-2.1859086,3.157799846,NA,0.354397089,NA,8.910343627,1,1.15E-09,1,3.80E-07,FALSE,TRUE,FALSE,TRUE
 g__Slackia_A,-0.693091313,2.399513024,NA,0.220954036,NA,10.85978362,1,1.37E-09,1,4.51E-07,FALSE,TRUE,TRUE,FALSE
 g__Enterococcus_D,-1.63086156,3.322357958,NA,0.259882808,NA,12.78406211,1,1.81E-09,1,5.94E-07,FALSE,TRUE,TRUE,FALSE
 g__Enterococcus_E,-2.034645049,4.08240485,NA,0.1425651,NA,28.63537323,1,1.63E-08,1,5.33E-06,FALSE,TRUE,TRUE,FALSE
 g__Other_21,-1.177421766,1.901121735,NA,0.264679597,NA,7.182728686,1,3.12E-08,1,1.02E-05,FALSE,TRUE,FALSE,TRUE
 g__Other_8,-2.922262697,3.604610734,NA,0.26795129,NA,13.45248511,1,3.57E-08,1,1.16E-05,FALSE,TRUE,TRUE,TRUE
 g__Cetobacterium_A,2.078013452,-1.992603251,NA,0.164416453,NA,-12.11924482,1,1.05E-07,1,3.40E-05,FALSE,TRUE,FALSE,FALSE
 g__Carnobacterium,-1.567220488,2.720811562,NA,0.208300606,NA,13.06194741,1,1.31E-07,1,4.23E-05,FALSE,TRUE,TRUE,FALSE
 g__GCA-900066495,0.049898224,1.381525823,NA,0.142705639,NA,9.680947685,1,1.39E-07,1,4.49E-05,FALSE,TRUE,FALSE,FALSE
 g__Terrisporobacter,-0.469429685,1.385691132,NA,0.161037116,NA,8.604793492,1,2.13E-07,1,6.83E-05,FALSE,TRUE,TRUE,FALSE
 g__Sellimonas,2.389240144,-2.764653847,NA,0.467701371,NA,-5.911151898,1,2.66E-07,1,8.51E-05,FALSE,TRUE,FALSE,TRUE
 g__Acidovorax,-0.65864248,1.73840306,NA,0.28032343,NA,6.201419046,1,3.35E-07,1,0.000106938,FALSE,TRUE,TRUE,FALSE
 g__Planococcus,1.254707274,-1.027437238,NA,0.152021913,NA,-6.758481178,1,5.45E-07,1,0.000173177,FALSE,TRUE,FALSE,FALSE
 g__UBA7173,1.356242701,-1.355056056,NA,0.20316433,NA,-6.669753766,1,8.36E-07,1,0.00026501,FALSE,TRUE,FALSE,TRUE
 g__Schaedlerella,2.478698855,-2.875059288,NA,0.521135234,NA,-5.516915954,1,8.76E-07,1,0.000276874,FALSE,TRUE,FALSE,TRUE
 g__Robinsoniella,1.898295599,-2.794397481,NA,0.288817302,NA,-9.675311905,1,1.03E-06,1,0.000323548,FALSE,TRUE,FALSE,TRUE
 g__Ligilactobacillus,-1.524042768,2.833101631,NA,0.503963098,NA,5.621645006,1,1.06E-06,1,0.000334284,FALSE,TRUE,FALSE,TRUE
 g__Lacticaseibacillus,-1.824409738,2.728058919,NA,0.207798724,NA,13.12837187,1,1.08E-06,1,0.000337375,FALSE,TRUE,TRUE,FALSE
 g__Sphingomonas,1.613312248,-1.295694272,NA,0.129472498,NA,-10.00748651,1,1.58E-06,1,0.00049255,FALSE,TRUE,FALSE,FALSE
 g__Other_51,-0.522205557,1.433456229,NA,0.125284706,NA,11.44158995,1,3.08E-06,1,0.000957862,FALSE,TRUE,FALSE,FALSE
 g__Globicatella,-1.334030523,2.325179934,NA,0.183621138,NA,12.66292083,1,4.43E-06,1,0.001372911,FALSE,TRUE,TRUE,FALSE
 g__Peptoniphilus_A,-0.07493824,1.153297755,NA,0.183478472,NA,6.285738833,1,4.92E-06,1,0.001520654,FALSE,TRUE,FALSE,FALSE
 g__Other_7,-0.525606246,2.252468925,NA,0.349532962,NA,6.444224635,1,6.06E-06,1,0.001864971,FALSE,TRUE,TRUE,FALSE
 g__An172,-0.507031337,1.646932519,NA,0.295118958,NA,5.580571754,1,8.37E-06,1,0.002568527,FALSE,TRUE,TRUE,FALSE
 g__Acidaminococcus,-0.104170501,1.001815349,NA,0.154280305,NA,6.493475277,1,1.01E-05,1,0.0031043,FALSE,TRUE,FALSE,FALSE
 g__Other_11,1.022045858,-0.946102798,NA,0.131363503,NA,-7.202173922,1,1.08E-05,1,0.00330457,FALSE,TRUE,FALSE,TRUE
 g__Nostoc,-0.807665981,1.874200693,NA,0.388140353,NA,4.828667465,1,1.56E-05,1,0.004737571,FALSE,TRUE,TRUE,TRUE
 g__Microbacterium,1.713638488,-1.300778998,NA,0.252983242,NA,-5.141759543,1,1.71E-05,1,0.00518276,FALSE,TRUE,FALSE,FALSE
 g__Megamonas,1.991406288,-2.137105909,NA,0.449220792,NA,-4.757361958,1,1.90E-05,1,0.005741372,FALSE,TRUE,FALSE,TRUE
 g__Niameybacter,1.18920683,-1.074009921,NA,0.134992867,NA,-7.95604944,1,2.31E-05,1,0.006962182,FALSE,TRUE,FALSE,FALSE
 g__Faecalibacillus,0.174490784,2.13182267,NA,0.147415227,NA,14.46134647,1,2.85E-05,1,0.008558251,FALSE,TRUE,FALSE,FALSE
 g__Anaerococcus,-0.328554626,0.986539528,NA,0.146893642,NA,6.716012448,1,3.30E-05,1,0.009880043,FALSE,TRUE,FALSE,FALSE
 g__Clostridium_AQ,-0.581719907,1.277046984,NA,0.199302933,NA,6.407567427,1,3.36E-05,1,0.010026479,FALSE,TRUE,TRUE,FALSE
 g__Bacillus_A,1.152425204,-0.857628702,NA,0.173220735,NA,-4.951074148,1,3.47E-05,1,0.010316412,FALSE,TRUE,FALSE,FALSE
 g__Alistipes,2.198670721,-2.555507622,NA,0.559645501,NA,-4.566297088,1,3.58E-05,1,0.010608613,FALSE,TRUE,FALSE,TRUE
 g__Merdimonas,1.005083184,-0.958159683,NA,0.164869094,NA,-5.811639162,1,6.06E-05,1,0.017869227,FALSE,TRUE,FALSE,TRUE
 g__Other_33,-0.043460673,0.936991481,NA,0.202132696,NA,4.635526553,1,6.09E-05,1,0.017899932,FALSE,TRUE,TRUE,FALSE
 g__Christensenella,-0.009758758,0.823675827,NA,0.126243119,NA,6.52452057,1,6.68E-05,1,0.019585879,FALSE,TRUE,FALSE,FALSE
 g__Adlercreutzia,-0.688436244,1.967968215,NA,0.318727821,NA,6.174447559,1,6.96E-05,1,0.020330526,FALSE,TRUE,TRUE,FALSE
 g__Olsenella_E,-0.69213898,1.493355758,NA,0.30020075,NA,4.974523732,1,7.29E-05,1,0.021207217,FALSE,TRUE,TRUE,FALSE
 g__Enterococcus,-0.697810394,1.771751437,NA,0.382282508,NA,4.634665204,1,8.13E-05,1,0.023576401,FALSE,TRUE,TRUE,FALSE
 g__Enterococcus_B,-0.754272453,1.964008105,NA,0.420984694,NA,4.665271998,1,8.87E-05,1,0.025641197,FALSE,TRUE,TRUE,FALSE
 g__Muricomes,1.330032447,-1.434399043,NA,0.318620148,NA,-4.501909413,1,0.000108092,1,0.031130484,FALSE,TRUE,FALSE,TRUE
 g__Gabonibacter,-0.663928927,1.332825118,NA,0.174449738,NA,7.640166929,1,0.000122138,1,0.035053685,FALSE,TRUE,TRUE,FALSE
 g__Raoultibacter,-0.563675934,1.183095077,NA,0.136806586,NA,8.647939483,1,0.000131754,1,0.037681705,FALSE,TRUE,FALSE,FALSE
 g__Other_42,1.207940431,-1.288280038,NA,0.170938564,NA,-7.536509075,1,0.000133159,1,0.037950218,FALSE,TRUE,FALSE,TRUE
 g__Anaerotruncus,1.821087497,-1.848909779,NA,0.400202017,NA,-4.619941179,1,0.000147701,1,0.041947166,FALSE,TRUE,FALSE,FALSE
 g__VUNI01,-0.632905754,1.322694657,NA,0.157823236,NA,8.380861342,1,0.000157046,1,0.044444153,FALSE,TRUE,FALSE,FALSE
 g__Eggerthella,-0.260063971,1.473606771,NA,0.294710113,NA,5.000190717,1,0.000158311,1,0.044643702,FALSE,TRUE,TRUE,FALSE
 g__CAG-462,1.025677487,-0.865837959,NA,0.207331281,NA,-4.176108662,1,0.000194918,1,0.054771849,FALSE,FALSE,FALSE,FALSE
 g__Massilistercora,1.15083891,-0.960114959,NA,0.222062083,NA,-4.323633032,1,0.000215041,1,0.060211477,FALSE,FALSE,FALSE,FALSE
 g__Lancefieldella,1.503876512,-1.260575298,NA,0.136698459,NA,-9.221576533,1,0.000251802,1,0.070252726,FALSE,FALSE,FALSE,TRUE
 g__Veillonella,-0.201042866,0.817417975,NA,0.175468393,NA,4.658491268,1,0.000262253,1,0.072906252,FALSE,FALSE,TRUE,TRUE
 g__UBA9502,1.636324917,-1.600366838,NA,0.412274085,NA,-3.88180314,1,0.00027579,1,0.076393858,FALSE,FALSE,FALSE,FALSE
 g__[Erysipelatoclostridiaceae_Garnier_p1_maxbin2_low_prob.015.contigs],-0.421150637,1.203492153,NA,0.250267336,NA,4.808826314,1,0.000277918,1,0.076705258,FALSE,FALSE,TRUE,TRUE
 g__[Erysipelatoclostridiaceae_Snoopy_p2_metabat2_low_PE.005.contigs],1.464206651,-1.058496308,NA,0.206206863,NA,-5.133176918,1,0.000326689,1,0.089839421,FALSE,FALSE,TRUE,TRUE
 g__NM07-P-09,1.248894719,-1.058957123,NA,0.178767335,NA,-5.923661189,1,0.000352239,1,0.096513367,FALSE,FALSE,FALSE,FALSE
 g__Faecalibacterium,2.051708481,-2.214645744,NA,0.583133398,NA,-3.797837257,1,0.000361382,1,0.098657199,FALSE,FALSE,FALSE,FALSE
 g__Anaerofilum,1.0743256,-1.069550835,NA,0.181378673,NA,-5.896783884,1,0.000363059,1,0.09875214,FALSE,FALSE,FALSE,FALSE
