taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 s__Leuconostoc_inhae,5.200925646,-5.039850456,NA,0.298988323,NA,-16.85634544,1,6.95E-13,1,6.95E-10,FALSE,TRUE,TRUE,FALSE
 s__Leuconostoc_mesenteroides,4.150964554,-3.884603429,NA,0.245300988,NA,-15.83606924,1,5.18E-12,1,5.18E-09,FALSE,TRUE,TRUE,FALSE
 s__Ligilactobacillus_agilis,-2.893058764,4.357040971,NA,0.454016512,NA,9.596657507,1,4.49E-11,1,4.48E-08,FALSE,TRUE,FALSE,TRUE
 s__Sphingobium_sp001713415,2.570036594,-2.230533834,NA,0.147059768,NA,-15.16753266,1,6.47E-11,1,6.45E-08,FALSE,TRUE,TRUE,FALSE
 s__Trichormus_sp001548375,-2.1859086,3.157799846,NA,0.351344764,NA,8.987752674,1,9.61E-10,1,9.57E-07,FALSE,TRUE,FALSE,TRUE
 s__Enterocloster_asparagiformis,-0.793068318,1.576547652,NA,0.127649689,NA,12.35057965,1,2.91E-09,1,2.90E-06,FALSE,TRUE,TRUE,FALSE
 s__Enterococcus_E_cecorum,-2.130561258,4.226279163,NA,0.13124148,NA,32.20231266,1,7.20E-09,1,7.16E-06,FALSE,TRUE,TRUE,FALSE
 s__[Allobaculum_Ash_p2_metabat2_high_PE.029.contigs],-1.798027801,2.579886371,NA,0.313490304,NA,8.229557149,1,7.77E-09,1,7.72E-06,FALSE,TRUE,FALSE,TRUE
 s__Other_59,-1.177421766,1.901121735,NA,0.260578464,NA,7.295774593,1,2.26E-08,1,2.24E-05,FALSE,TRUE,FALSE,TRUE
 s__Other_24,-2.922262697,3.604610734,NA,0.263901004,NA,13.65895041,1,3.04E-08,1,3.01E-05,FALSE,TRUE,TRUE,TRUE
 s__Enterococcus_B_mundtii,-2.948493262,4.441100991,NA,0.294117119,NA,15.0997705,1,3.28E-08,1,3.25E-05,FALSE,TRUE,TRUE,FALSE
 s__Olsenella_E_sp012027725,-2.655047288,3.336610505,NA,0.19410574,NA,17.18965396,1,3.44E-08,1,3.40E-05,FALSE,TRUE,TRUE,FALSE
 s__Megamonas_hypermegale,1.285885196,-1.929310722,NA,0.159583839,NA,-12.08963727,1,4.45E-08,1,4.40E-05,FALSE,TRUE,FALSE,TRUE
 s__GCA-900066495_hominis_A,0.049898224,1.381525823,NA,0.134947197,NA,10.23752887,1,6.98E-08,1,6.89E-05,FALSE,TRUE,FALSE,FALSE
