index,SEQ.025,SEQ.026,SEQ.027,SEQ.028,SEQ.029,SEQ.030,SEQ.031,SEQ.032,SEQ.033,SEQ.034,SEQ.035,SEQ.036,SEQ.037,SEQ.038,SEQ.039,SEQ.040,SEQ.041,SEQ.042,SEQ.043,SEQ.044,SEQ.127,SEQ.128,SEQ.129,SEQ.130,SEQ.131,SEQ.132,SEQ.134,SEQ.135,SEQ.136,SEQ.137,SEQ.138,SEQ.139,SEQ.140,SEQ.141,SEQ.142,SEQ.143,SEQ.144,SEQ.145,SEQ.146,SEQ.147,SEQ.148,SEQ.149,SEQ.150,SEQ.151,SEQ.152,SEQ.153,SEQ.154,SEQ.155,SEQ.156,SEQ.157,SEQ.158,SEQ.159,SEQ.160,SEQ.161,SEQ.162,SEQ.163,SEQ.164,SEQ.165,SEQ.166,SEQ.167,SEQ.168
Group,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE,PLE
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0,0.0007692307692307692,0,0,0,0.005384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012307692307692308,0.03538461538461539,0,0,0.0007692307692307692,0,0,0,0,0.0007692307692307692,0.02076923076923077,0,0,0,0,0,0.0007692307692307692,0,0.03,0,0,0.0038461538461538464,0,0,0.0015384615384615385,0,0.0007692307692307692,0.0023076923076923075,0.0007692307692307692,0,0.008461538461538461,0.008461538461538461,0,0.011538461538461537,0.0007692307692307692,0,0.0007692307692307692,0,0.0007692307692307692,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Buchananella,0,0,0,0,0,0.01846153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02230769230769231,0,0,0,0,0,0,0,0,0.01,0,0,0.006153846153846154,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,0,0,0,0,0,0,0.010769230769230769,0,0.007692307692307693,0,0,0,0,0,0,0,0,0.0038461538461538464,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038461538461538464,0,0.0007692307692307692,0.0007692307692307692,0,0.0015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0.0023076923076923075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008461538461538461,0,0,0.0007692307692307692,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04153846153846154,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Aeriscardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6915384615384615,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,13.51153846153846,1.033076923076923,0.88,0.0015384615384615385,8.128461538461538,0.0007692307692307692,0.011538461538461537,0,0,0.2030769230769231,0,0.2607692307692308,0.0007692307692307692,0,0,0.0015384615384615385,0,0,0.6392307692307692,0,0.6607692307692308,0.0023076923076923075,0.0023076923076923075,0,5.498461538461538,0.05692307692307692,0,4.343846153846154,2.1115384615384616,0.01,57.89384615384615,0,1.9346153846153846,0,0.0015384615384615385,0.06153846153846154,15.455384615384615,0.005384615384615384,0,0,0,0,0.6907692307692307,0.021538461538461538,7.001538461538462,0,0,0,8.571538461538461,0.0038461538461538464,0,0,0,19.69153846153846,0,28.37,0.0007692307692307692,0,0,0.006153846153846154,0.0007692307692307692
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Other,0.0023076923076923075,0,0,0,0.0015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0.0007692307692307692,0,0,0.004615384615384615,0,0,0,0,0,0.0038461538461538464,0,0,0,0,0,0.0007692307692307692,0,0.0007692307692307692,0,0,0,0.0015384615384615385,0,0,0,0,0.0015384615384615385,0,0.003076923076923077,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0,0,0,0.0038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Agreia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Conyzicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031538461538461536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Frigoribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Frondihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0.0015384615384615385,0,0,0.0007692307692307692,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0.0007692307692307692,0,0,0,0.0007692307692307692,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Plantibacter,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0.004615384615384615,0,0,0.011538461538461537,0.0007692307692307692,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0,0,0,0,0,0.0007692307692307692,0.0023076923076923075,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0.0007692307692307692,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Other,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Other;g__Other,0.0007692307692307692,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0.013846153846153848,0,0.0007692307692307692,0.01,0,0.0023076923076923075,0.0038461538461538464,0,0,0,0,0.0023076923076923075,0.0007692307692307692,0,0.0007692307692307692,0,0,0,0,0,0.0023076923076923075,0,0.0015384615384615385,0,0.0007692307692307692,0,0,0,0,0.0015384615384615385,0,0,0,0,0.0007692307692307692,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023076923076923075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,0.004615384615384615,0,0,0,0,0.023076923076923075,0,0,0,0,0,0,0,0,0,0.023076923076923075,0,0,0,0.003076923076923077,0.08384615384615385,0,0,0.0023076923076923075,0,0.0007692307692307692,0,0.0015384615384615385,0,0.013076923076923078,0,0,0.011538461538461537,0,0,0,0.0038461538461538464,0.013076923076923078,0.024615384615384615,0.0007692307692307692,0.003076923076923077,0.006923076923076924,0,0.3023076923076923,0,0.0007692307692307692,0.012307692307692308,0.004615384615384615,0.35923076923076924,0,0.012307692307692308,0.011538461538461537,0.0023076923076923075,0.019230769230769232,0,0.0007692307692307692,0.013846153846153848,0,0,0.0007692307692307692,0.0007692307692307692
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03307692307692308,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003076923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,0,0,0,0,0,0,0.0038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Other;f__Other;g__Other,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0.0007692307692307692,0.0007692307692307692,0.0007692307692307692,0,0,0,0,0,0.0015384615384615385,0,0,0,0,0.0038461538461538464,0,0,0,0,0.0007692307692307692,0,0,0.0007692307692307692,0,0,0.0023076923076923075,0,0.0023076923076923075,0,0,0,0.0015384615384615385,0.0015384615384615385,0.0007692307692307692,0,0,0,0,0,0.0007692307692307692,0,0,0.0007692307692307692,0,0.0007692307692307692,0,0.0007692307692307692,0.0007692307692307692,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006923076923076924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium,0,0,0,0,0,0.005384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.008461538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella,0,0,0,0,0,0,0.008461538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02923076923076923,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038461538461538464,0,0,0.004615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09307692307692308,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E,0.03769230769230769,0,0,0,0.017692307692307695,0,0.006923076923076924,0,0.0015384615384615385,0,0,0,0.006923076923076924,0.0015384615384615385,0.005384615384615384,0.03538461538461539,0,0,0.0007692307692307692,0,0.003076923076923077,0,0,0,0.013076923076923078,0.005384615384615384,0.0015384615384615385,0.03923076923076923,0.0007692307692307692,0,0,0,0,0,0,0.0038461538461538464,0.23769230769230767,0,0.003076923076923077,0,0,0,0,0,0.13615384615384615,0,0,0,0.0015384615384615385,0.010769230769230769,0,0,0,0,0,0,0,0,0.0023076923076923075,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Other,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0.0015384615384615385,0,0.0007692307692307692,0.0007692307692307692,0,0,0,0,0,0,0,0.0007692307692307692,0.0007692307692307692,0,0,0,0,0,0,0,0.0015384615384615385,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella,0.0007692307692307692,0,0,0,0.006923076923076924,0,0.0015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0,0,0.007692307692307693,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0.003076923076923077,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__[Atopobiaceae_Jenna_p2_metabat2_low_PE.018.contigs],0,0,0,0,0,0,0,0.004615384615384615,0.03307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021538461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008461538461538461,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__An7,0.0015384615384615385,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013076923076923078,0,0,0.015384615384615385,0,0,0,0,0,0,0,0,0.0038461538461538464,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02076923076923077,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,9.363846153846152,0,5.226923076923077,3.5907692307692307,9.737692307692308,32.45461538461539,11.42076923076923,13.135384615384616,16.173076923076923,7.211538461538461,5.513846153846154,4.663846153846154,30.82076923076923,18.71076923076923,12.203076923076923,9.227692307692308,7.906923076923077,10.003076923076923,8.571538461538461,18.603846153846153,13.213846153846154,0.2476923076923077,26.35,0,19.13769230769231,11.78076923076923,20.65230769230769,40.65615384615385,8.03,26.34692307692308,0.003076923076923077,4.219230769230769,0.23615384615384613,3.3453846153846154,0.17461538461538462,30.07076923076923,25.465384615384618,2.6976923076923076,49.07923076923077,0.21,4.42,0,0,17.44076923076923,13.88,3.1092307692307695,3.7061538461538457,34.395384615384614,6.326153846153846,10.755384615384616,0.08692307692307692,0,4.905384615384616,0.08076923076923076,0.0015384615384615385,4.372307692307692,11.074615384615385,16.580769230769228,22.29153846153846,0.07384615384615384,3.3953846153846152
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma,0.004615384615384615,0,0,0,0.0023076923076923075,0,0.006153846153846154,0,0.0015384615384615385,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.0023076923076923075,0,0,0.007692307692307693,0,0.0007692307692307692,0,0,0,0,0,0,0.0023076923076923075,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0.0023076923076923075,0.005384615384615384,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Other,0.025384615384615387,0,0.0007692307692307692,0.0023076923076923075,0.012307692307692308,0.021538461538461538,0.024615384615384615,0.008461538461538461,0.006923076923076924,0.008461538461538461,0.0007692307692307692,0.004615384615384615,0.012307692307692308,0.010769230769230769,0.005384615384615384,0.024615384615384615,0.0015384615384615385,0.003076923076923077,0.0038461538461538464,0.00923076923076923,0.01846153846153846,0,0.004615384615384615,0,0.033846153846153845,0.0038461538461538464,0.02692307692307692,0.04230769230769231,0.006923076923076924,0.013076923076923078,0,0.0015384615384615385,0,0.004615384615384615,0,0.045384615384615384,0.017692307692307695,0.0023076923076923075,0.017692307692307695,0,0,0,0,0.016153846153846154,0.013846153846153848,0,0.003076923076923077,0.016153846153846154,0.015384615384615385,0.026153846153846156,0,0,0.006923076923076924,0,0,0.0007692307692307692,0.0015384615384615385,0.015384615384615385,0.013846153846153848,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia,0,0,0,0,0,0.0007692307692307692,0,0,0,0.06615384615384616,0,0,0,0,0,0,0,0,0.17076923076923076,0,0,0,0,0,0,0.44,0.0007692307692307692,0,0,0,0,0,0,0,0,0.0015384615384615385,0.03692307692307692,0,0.0007692307692307692,0,0,0,0,0,0.02076923076923077,0,0,0,0,0.0007692307692307692,0,0,0.0007692307692307692,0,0,0,0,0,0,0.7184615384615385,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,0,0,0,0,0,0,0.0015384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003076923076923077,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Denitrobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,0,0,0,0,0,0,0,0,0,0.0015384615384615385,0,0,0,0,0,0,0,0,0.01,0,0,18.054615384615385,0,1.333076923076923,0,0.29615384615384616,1.05,0,0.7669230769230769,0,0,0,0,0,0,0,0.0038461538461538464,0,0,0,0.0007692307692307692,0,0,0,0,0,0,0,0,0,0.38153846153846155,0,0.49461538461538457,0,1.466923076923077,0.04615384615384615,0.004615384615384615,0,0,0.0023076923076923075,0
