taxon,median,range
Actinomyces,0,0-0.0353846153846154
Pauljensenia,0,0-0.00846153846153846
Aeriscardovia,0,0-0.691538461538462
Bifidobacterium,0.00230769230769231,0-57.8938461538461
Clavibacter,0,0-0.000769230769230769
Frondihabitans,0,0-0.00384615384615385
Microbacterium,0,0-0.00153846153846154
Plantibacter,0,0-0.0115384615384615
Micromonospora,0,0-0
Corynebacterium,0.000769230769230769,0-0.359230769230769
Gordonia,0,0-0.0169230769230769
Lawsonella,0,0-0.0330769230769231
Mycobacterium,0,0-0.00307692307692308
Rhodococcus_B,0,0-0.00769230769230769
Nocardioides,0,0-0.000769230769230769
Arachnia,0,0-0.00692307692307692
Cutibacterium,0,0-0
Streptomyces,0,0-0.000769230769230769
Lancefieldella,0,0-0.02
Olsenella,0,0-0.0292307692307692
Olsenella_B,0,0-0.0930769230769231
Olsenella_E,0,0-0.237692307692308
[Atopobiaceae_Jenna_p2_metabat2_low_PE.018.contigs],0,0-0.0215384615384615
An7,0,0-0.0207692307692308
Collinsella,4.42,0-49.0792307692308
Enorma,0,0-0.00769230769230769
Adlercreutzia,0,0-0.718461538461538
Eggerthella,0,0-18.0546153846154
Ellagibacter,0,0-0.0638461538461538
Gordonibacter,0,0-0.496923076923077
Paraeggerthella,0,0-0.0784615384615385
Raoultibacter,0,0-0.0130769230769231
Senegalimassilia,0,0-0.163076923076923
Slackia_A,0.0638461538461538,0-21.8507692307692
Bacteroides,0.06,0-34.6930769230769
CAG-462,0,0-0.121538461538462
Paraprevotella,0,0-0.0592307692307692
Phocaeicola,0.233846153846154,0-10.5176923076923
Prevotella,0.0338461538461538,0-32.5369230769231
Prevotellamassilia,0.0576923076923077,0-16.4884615384615
Barnesiella,0,0-0.477692307692308
Butyricimonas,0,0-0.226923076923077
Odoribacter,0,0-0.462307692307692
CAG-279,0,0-0.403076923076923
Muribaculum,0,0-0.00384615384615385
Porphyromonas,0,0-0.200769230769231
Porphyromonas_A,0,0-0.165384615384615
Alistipes,0,0-1.46076923076923
Alistipes_A,0,0-0.356923076923077
Rikenella,0,0-0.00692307692307692
Parabacteroides,0,0-2.68615384615385
RC9,0,0-0.468461538461538
Flavobacterium,0,0-0.0107692307692308
Campylobacter,0,0-0.0538461538461538
Campylobacter_D,0,0-1.30307692307692
Helicobacter_A,0,0-0.236153846153846
Helicobacter_B,0,0-0.134615384615385
Helicobacter_C,0,0-0.0161538461538462
Helicobacter_D,0,0-0.00615384615384615
Trichormus,0,0-0
Bilophila,0,0-2.50923076923077
Desulfovibrio,0,0-0.262307692307692
[Anaeroplasmataceae_Juniper_p2_metabat2_high_PE.004.contigs],0,0-0.0176923076923077
Bacillus,0,0-0
Bacillus_A,0,0-0.0138461538461538
Planococcus,0,0-0.0338461538461538
Bacillus_J,0,0-0
Oceanobacillus,0,0-0
Pontibacillus,0,0-0.000769230769230769
Bacillus_H,0,0-0.00384615384615385
Bacillus_AO,0,0-0.00461538461538461
Beduini,0,0-0
Catenibacterium,0.0484615384615385,0-4.41230769230769
Coprobacillus,0,0-0.01
Erysipelatoclostridium,0.152307692307692,0-4.55307692307692
Faecalibacillus,0,0-1.98461538461538
Stoquefichus,0,0-0.000769230769230769
[Erysipelatoclostridiaceae_Garnier_p1_maxbin2_low_prob.015.contigs],0,0-0.0261538461538462
[Erysipelatoclostridiaceae_Snoopy_p2_metabat2_low_PE.005.contigs],0,0-0.114615384615385
Allobaculum,0.0492307692307692,0-13.1723076923077
Amedibacterium,0,0-7.48153846153846
Bulleidia,0,0-0.000769230769230769
Clostridium_AQ,0.00692307692307692,0-7.14461538461538
Dubosiella,0,0-0.0723076923076923
Faecalicoccus,0,0-0.00538461538461538
Faecalitalea,0,0-0.0584615384615385
Holdemanella,0.0107692307692308,0-3.91461538461538
Holdemania,0,0-0.04
Ileibacterium,0,0-0.0323076923076923
Turicibacter,0,0-1.15846153846154
Carnobacterium,0,0-0.0130769230769231
Enterococcus,0.000769230769230769,0-32.4938461538462
Enterococcus_A,0,0-0.315384615384615
Enterococcus_B,0.0953846153846154,0-28.5223076923077
Enterococcus_D,0,0-0.581538461538462
Enterococcus_E,0,0-2.12615384615385
Lacticaseibacillus,0,0-0.646923076923077
Lactiplantibacillus,0,0-2.08692307692308
Lactobacillus,0.00307692307692308,0-79.5061538461539
Latilactobacillus,0,0-0.0276923076923077
Leuconostoc,0,0-0.0738461538461538
Levilactobacillus,0,0-0.00923076923076923
Ligilactobacillus,0,0-22.6692307692308
Limosilactobacillus,0,0-20.5892307692308
Pediococcus,0,0-0.0169230769230769
Weissella,0,0-0.425384615384615
Listeria,0,0-0.0223076923076923
Lactococcus,0,0-0.192307692307692
Lactococcus_A,0,0-0.0923076923076923
Streptococcus,0.588461538461538,0-41.9792307692308
Vagococcus,0,0-0
Vagococcus_A,0,0-0.00230769230769231
Paenibacillus,0,0-0.000769230769230769
Gemella,0,0-0.00384615384615385
Staphylococcus,0,0-0.0707692307692308
Ruminiclostridium,0,0-0.0246153846153846
Clostridium,0.00769230769230769,0-1.18846153846154
Clostridium_H,0,0-0.000769230769230769
Clostridium_J,0,0-0.00461538461538461
Clostridium_L,0,0-0
Clostridium_P,0.00923076923076923,0-8.19230769230769
Dwaynesavagella,0,0-0.722307692307692
Eubacterium,0,0-0.186153846153846
Anaerotignum,0,0-5.52923076923077
Cellulosilyticum,0,0-0
Niameybacter,0,0-0.00923076923076923
14-2,0,0-0.00384615384615385
1XD42-69,0,0-0.00615384615384615
Acetatifactor,0.00153846153846154,0-0.02
Acetivibrio_A,0,0-0.00692307692307692
Agathobacter,0,0-0.0461538461538461
An181,0,0-0.00538461538461538
Anaerobutyricum,0.00153846153846154,0-0.517692307692308
Anaerosacchariphilus,0,0-0.106923076923077
Anaerostipes,0.0146153846153846,0-9.80307692307692
Bariatricus,0.00461538461538461,0-0.0623076923076923
Blautia,1.57461538461538,0-25.6184615384615
Blautia_A,4.54461538461538,0-43.6876923076923
Butyrivibrio_A,0,0-0.00307692307692308
CAG-127,0,0-0.0153846153846154
CAG-45,0,0-0.00384615384615385
CAG-81,0.0184615384615385,0-1.02923076923077
Catenibacillus,0,0-0.0261538461538462
Catonella,0,0-0.00384615384615385
Clostridium_AP,0.000769230769230769,0-0.0953846153846154
Clostridium_Q,0.06,0-5.74538461538462
Clostridium_R,0,0-0
Coprococcus,0.00307692307692308,0-0.0169230769230769
Dorea,0.00615384615384615,0-0.0961538461538462
Dorea_A,0.0146153846153846,0-0.336153846153846
Dorea_B,0.00538461538461538,0-1.72461538461538
Eisenbergiella,0.09,0-5.43384615384615
Enterocloster,0.116153846153846,0-1.54769230769231
Eubacterium_G,0,0-0.786923076923077
Eubacterium_I,0.00384615384615385,0-0.143076923076923
Eubacterium_J,0,0-0.00153846153846154
Extibacter,0,0-0.00615384615384615
Faecalimonas,2.99,0-34.0853846153846
Frisingicoccus,0,0-0.472307692307692
